date,equity,s1_qqq_tqqq,s2_spy_spxl,s3_gld,s1_state,s2_state,vix,vix_sma
2000-01-03,100000.0,45000.0,45000.0,10000.0,cash,cash,24.21,
2000-01-04,99787.36,45007.0,45007.0,9773.36,cash,cash,27.01,
2000-01-05,99751.2,45014.01,45014.01,9723.18,cash,cash,26.41,
2000-01-06,99773.17,45021.02,45021.02,9731.14,cash,cash,25.73,
2000-01-07,99805.18,45028.02,45028.02,9749.13,cash,cash,21.72,
2000-01-10,99809.86,45035.03,45035.03,9739.79,cash,cash,21.71,
2000-01-11,99889.62,45042.04,45042.04,9805.54,cash,cash,22.5,
2000-01-12,99872.5,45049.05,45049.05,9774.39,cash,cash,22.84,
2000-01-13,99947.77,45056.06,45056.06,9835.64,cash,cash,21.71,
2000-01-14,99953.14,45063.08,45063.08,9826.99,cash,cash,19.66,
2000-01-18,100142.1,45077.11,45077.11,9987.89,cash,cash,21.5,
2000-01-19,100186.24,45084.12,45084.12,10017.99,cash,cash,21.72,
2000-01-20,100169.13,45091.14,45091.14,9986.85,cash,cash,21.75,
2000-01-21,100199.78,45098.16,45098.16,10003.46,cash,cash,20.82,
2000-01-24,100165.37,45105.18,45105.18,9955.02,cash,cash,24.07,
2000-01-25,100115.4,45112.2,45112.2,9891.0,cash,cash,23.02,
2000-01-26,100132.9,45119.22,45119.22,9894.46,cash,cash,23.03,
2000-01-27,100179.82,45126.24,45126.24,9927.34,cash,cash,23.54,
2000-01-28,100050.27,45133.27,45133.27,9783.74,cash,cash,26.14,
2000-01-31,100080.93,45140.29,45140.29,9800.35,cash,cash,24.95,23.2
2000-02-01,100073.88,45147.32,45147.32,9779.24,cash,cash,23.45,23.16
2000-02-02,100166.13,45154.35,45154.35,9857.44,cash,cash,23.12,22.97
2000-02-03,100267.38,45161.37,45161.37,9944.64,cash,cash,22.01,22.75
2000-02-04,101243.38,45168.4,45168.4,10906.57,cash,cash,21.54,22.54
2000-02-07,100793.77,45175.43,45175.43,10442.91,cash,cash,22.79,22.59
2000-02-08,100710.95,45182.47,45182.47,10346.02,cash,cash,21.25,22.57
2000-02-09,100975.88,45189.5,45189.5,10596.89,cash,cash,22.9,22.59
2000-02-10,101360.19,45196.53,45196.53,10967.13,cash,cash,23.07,22.6
2000-02-11,101175.3,45203.57,45203.57,10768.17,cash,cash,24.42,22.74
2000-02-14,101078.64,45210.6,45210.6,10657.44,cash,cash,24.38,22.97
2000-02-15,100885.11,45217.64,45217.64,10449.83,cash,cash,22.92,23.04
2000-02-16,100916.48,45224.68,45224.68,10467.13,cash,cash,23.51,23.13
2000-02-17,100887.31,45231.72,45231.72,10423.88,cash,cash,23.17,23.21
2000-02-18,101024.23,45238.76,45238.76,10546.71,cash,cash,26,23.46
2000-02-22,101067.97,45252.84,45252.84,10562.28,cash,cash,25.86,23.55
2000-02-23,100903.85,45259.88,45259.88,10384.08,cash,cash,23.89,23.6
2000-02-24,100866.04,45266.93,45266.93,10332.18,cash,cash,24.38,23.66
2000-02-25,100672.52,45273.97,45273.97,10124.57,cash,cash,25.2,23.75
2000-02-28,100674.5,45281.02,45281.02,10112.46,cash,cash,24.68,23.67
2000-02-29,100684.1,45288.07,45288.07,10107.96,cash,cash,23.37,23.6
2000-03-01,100668.09,45295.12,45295.12,10077.85,cash,cash,21.64,23.51
2000-03-02,100576.66,45302.17,45302.17,9972.32,cash,cash,21.06,23.4
2000-03-03,100611.52,45309.22,45309.22,9993.08,cash,cash,19.21,23.26
2000-03-06,100594.48,45316.27,45316.27,9961.94,cash,cash,21.5,23.26
2000-03-07,100753.92,45323.33,45323.33,10107.27,cash,cash,24.31,23.34
2000-03-08,100646.92,45330.38,45330.38,9986.16,cash,cash,23.82,23.46
2000-03-09,100752.73,45337.44,45337.44,10077.85,cash,cash,22.21,23.43
2000-03-10,100688.99,45344.49,45344.49,10000.0,cash,cash,21.24,23.34
2000-03-13,100750.85,45351.55,45351.55,10047.75,cash,cash,22.85,23.26
2000-03-14,100713.07,45358.61,45358.61,9995.85,cash,cash,24.41,23.26
2000-03-15,100727.19,45365.67,45365.67,9995.85,cash,cash,22.34,23.23
2000-03-16,100658.96,45372.73,45372.73,9913.49,cash,cash,20.77,23.1
2000-03-17,100603.88,45379.79,45379.79,9844.29,cash,cash,22.37,23.06
2000-03-20,100665.76,45386.86,45386.86,9892.04,cash,cash,22.96,22.9
2000-03-21,100818.29,45393.92,45393.92,10030.45,cash,cash,21.7,22.7
2000-03-22,100767.37,45400.99,45400.99,9965.4,cash,cash,21.49,22.58
2000-03-23,100695.0,45408.05,45408.05,9878.89,cash,cash,22.26,22.47
2000-03-24,100688.37,45415.12,45415.12,9858.13,cash,cash,23.31,22.38
2000-03-27,100539.88,45422.19,45422.19,9695.5,cash,cash,24.53,22.37
2000-03-28,100524.61,45429.26,45429.26,9666.09,cash,cash,24.86,22.44
2000-03-29,100431.49,45436.33,45436.33,9558.82,cash,cash,24.1,22.57
2000-03-30,100454.28,45443.4,45443.4,9567.47,cash,cash,25.47,22.79
2000-03-31,100553.2,45450.48,45450.48,9652.25,cash,cash,24.11,23.03
2000-04-03,100539.67,45457.55,45457.55,9624.57,cash,cash,24.03,23.16
2000-04-04,100783.92,45464.63,45464.63,9854.67,cash,cash,27.12,23.3
2000-04-05,100683.89,45471.7,45471.7,9740.48,cash,cash,28.41,23.53
2000-04-06,100663.44,45478.78,45478.78,9705.88,cash,cash,27.15,23.77
2000-04-07,100667.22,45485.86,45485.86,9695.5,cash,cash,24.39,23.93
2000-04-10,100735.01,45492.94,45492.94,9749.13,cash,cash,25.99,24.09
2000-04-11,100744.68,45500.02,45500.02,9744.64,cash,cash,27.25,24.23
2000-04-12,100780.64,45507.1,45507.1,9766.44,cash,cash,28.98,24.56
2000-04-13,100779.24,45514.19,45514.19,9750.87,cash,cash,29.4,24.99
2000-04-14,100834.93,45521.27,45521.27,9792.39,cash,cash,33.49,25.55
2000-04-17,100793.04,45528.36,45528.36,9736.33,cash,cash,28.95,25.85
2000-04-18,100798.22,45535.44,45535.44,9727.34,cash,cash,26.12,26.07
2000-04-19,100800.28,45542.53,45542.53,9715.22,cash,cash,27.02,26.35
2000-04-20,100779.17,45549.62,45549.62,9679.93,cash,cash,25.85,26.53
2000-04-24,100809.26,45563.8,45563.8,9681.66,cash,cash,27.37,26.73
2000-04-25,100769.81,45570.89,45570.89,9628.03,cash,cash,25.24,26.76
2000-04-26,100694.03,45577.98,45577.98,9538.06,cash,cash,26.97,26.87
2000-04-27,100756.66,45585.08,45585.08,9586.51,cash,cash,26.19,26.98
